Using device: cuda
NVIDIA H200
Memory Usage:
Allocated: 0.0 GB
Cached:    0.0 GB
torch.Size([20075, 1, 14, 30]) torch.Size([20075, 1, 56, 120]) torch.Size([34675, 1, 14, 30]) torch.Size([34675, 1, 56, 120])
Epoch: 96 | Train loss: 6.01855 | Test loss: 6.98555
Epoch: 97 | Train loss: 6.19686 | Test loss: 4.93318
Epoch: 98 | Train loss: 6.04634 | Test loss: 7.41299
Epoch: 99 | Train loss: 6.09861 | Test loss: 8.30976
Epoch: 100 | Train loss: 6.01900 | Test loss: 5.42162
Epoch: 101 | Train loss: 6.01102 | Test loss: 8.71320
Epoch: 102 | Train loss: 5.95087 | Test loss: 4.70220
Epoch: 103 | Train loss: 5.97084 | Test loss: 6.51094
Epoch: 104 | Train loss: 6.29710 | Test loss: 4.84874
Epoch: 105 | Train loss: 5.98036 | Test loss: 5.20934
Epoch: 106 | Train loss: 5.87799 | Test loss: 7.77180
Epoch: 107 | Train loss: 5.99065 | Test loss: 5.96079
Epoch: 108 | Train loss: 5.89102 | Test loss: 5.15602
Epoch: 109 | Train loss: 5.92007 | Test loss: 5.40581
Epoch: 110 | Train loss: 5.83814 | Test loss: 8.30662
Epoch: 111 | Train loss: 5.78022 | Test loss: 6.14900
Epoch: 112 | Train loss: 5.92281 | Test loss: 5.75954
Epoch: 113 | Train loss: 5.58282 | Test loss: 10.10629
Epoch: 114 | Train loss: 5.95364 | Test loss: 6.31626
Epoch: 115 | Train loss: 5.70854 | Test loss: 5.46317
Epoch: 116 | Train loss: 5.79791 | Test loss: 4.64285
Epoch: 117 | Train loss: 5.77047 | Test loss: 9.92141
Epoch: 118 | Train loss: 5.92774 | Test loss: 5.75000
Epoch: 119 | Train loss: 5.79803 | Test loss: 5.64821
Epoch: 120 | Train loss: 5.57917 | Test loss: 4.88757
Epoch: 121 | Train loss: 5.59306 | Test loss: 4.76272
Epoch: 122 | Train loss: 5.81442 | Test loss: 5.81768
Epoch: 123 | Train loss: 5.63084 | Test loss: 8.09487
Epoch: 124 | Train loss: 5.83191 | Test loss: 6.19665
Epoch: 125 | Train loss: 5.69200 | Test loss: 6.87864
Epoch: 126 | Train loss: 5.85819 | Test loss: 15.06138
Epoch: 127 | Train loss: 5.66615 | Test loss: 4.76968
Epoch: 128 | Train loss: 5.44779 | Test loss: 5.18558
Epoch: 129 | Train loss: 5.55899 | Test loss: 5.23842
Epoch: 130 | Train loss: 5.71789 | Test loss: 5.64791
Epoch: 131 | Train loss: 5.54054 | Test loss: 6.37376
Epoch: 132 | Train loss: 5.59765 | Test loss: 4.50956
Epoch: 133 | Train loss: 5.36596 | Test loss: 7.29368
Epoch: 134 | Train loss: 5.48487 | Test loss: 4.47322
Epoch: 135 | Train loss: 5.53382 | Test loss: 6.59977
Epoch: 136 | Train loss: 5.54925 | Test loss: 10.00331
Epoch: 137 | Train loss: 5.35287 | Test loss: 5.52860
Epoch: 138 | Train loss: 5.50062 | Test loss: 4.77121
Epoch: 139 | Train loss: 5.42108 | Test loss: 4.85934
Epoch: 140 | Train loss: 5.47916 | Test loss: 7.30087
Epoch: 141 | Train loss: 5.31350 | Test loss: 4.57658
Epoch: 142 | Train loss: 5.29509 | Test loss: 4.59824
Epoch: 143 | Train loss: 5.43585 | Test loss: 4.60840
Epoch: 144 | Train loss: 5.35487 | Test loss: 5.52026
Epoch: 145 | Train loss: 5.29339 | Test loss: 9.74057
Epoch: 146 | Train loss: 5.36791 | Test loss: 4.93194
Epoch: 147 | Train loss: 5.26984 | Test loss: 4.57659
Epoch: 148 | Train loss: 5.22817 | Test loss: 4.67237
Epoch: 149 | Train loss: 5.51553 | Test loss: 5.43943
Epoch: 150 | Train loss: 5.30213 | Test loss: 4.68918
Epoch: 151 | Train loss: 5.19573 | Test loss: 5.11059
Epoch: 152 | Train loss: 5.23742 | Test loss: 7.06168
Epoch: 153 | Train loss: 5.32766 | Test loss: 7.54952
Epoch: 154 | Train loss: 5.25968 | Test loss: 5.90219
Epoch: 155 | Train loss: 5.18179 | Test loss: 4.36044
Epoch: 156 | Train loss: 5.13359 | Test loss: 5.06534
Epoch: 157 | Train loss: 5.26705 | Test loss: 4.27435
Epoch: 158 | Train loss: 5.11360 | Test loss: 6.47351
Epoch: 159 | Train loss: 5.14892 | Test loss: 4.56908
Epoch: 160 | Train loss: 5.12822 | Test loss: 4.57512
Epoch: 161 | Train loss: 5.24876 | Test loss: 5.96871
Epoch: 162 | Train loss: 5.16316 | Test loss: 4.80110
Epoch: 163 | Train loss: 4.98353 | Test loss: 5.58433
Epoch: 164 | Train loss: 5.02733 | Test loss: 5.87586
Epoch: 165 | Train loss: 5.10215 | Test loss: 6.71853
Epoch: 166 | Train loss: 5.08758 | Test loss: 4.61548
Epoch: 167 | Train loss: 5.00060 | Test loss: 4.61056
Epoch: 168 | Train loss: 5.09381 | Test loss: 4.29093
Epoch: 169 | Train loss: 4.96065 | Test loss: 4.56730
Epoch: 170 | Train loss: 5.07925 | Test loss: 4.80369
Epoch: 171 | Train loss: 4.95523 | Test loss: 5.66950
Epoch: 172 | Train loss: 5.01371 | Test loss: 5.13937
Epoch: 173 | Train loss: 5.03431 | Test loss: 4.40536
