Using device: cuda
NVIDIA H200
Memory Usage:
Allocated: 0.0 GB
Cached:    0.0 GB
torch.Size([20075, 1, 14, 30]) torch.Size([20075, 1, 56, 120]) torch.Size([34675, 1, 14, 30]) torch.Size([34675, 1, 56, 120])
Epoch 065 | SR Loss: 7.12831 | Domain Loss: 0.63988 | Test Loss: 11.63832
Epoch 066 | SR Loss: 6.61890 | Domain Loss: 0.64235 | Test Loss: 5.64460
Epoch 067 | SR Loss: 7.04878 | Domain Loss: 0.63837 | Test Loss: 6.03142
Epoch 068 | SR Loss: 6.60414 | Domain Loss: 0.63829 | Test Loss: 7.47448
Epoch 069 | SR Loss: 6.56957 | Domain Loss: 0.63828 | Test Loss: 5.51896
Epoch 070 | SR Loss: 6.86065 | Domain Loss: 0.63677 | Test Loss: 5.01967
Epoch 071 | SR Loss: 6.72107 | Domain Loss: 0.63418 | Test Loss: 10.31543
Epoch 072 | SR Loss: 6.50473 | Domain Loss: 0.63548 | Test Loss: 6.34056
Epoch 073 | SR Loss: 6.68877 | Domain Loss: 0.63759 | Test Loss: 7.12930
Epoch 074 | SR Loss: 6.32822 | Domain Loss: 0.63630 | Test Loss: 4.88013
Epoch 075 | SR Loss: 6.81158 | Domain Loss: 0.63433 | Test Loss: 5.59837
Epoch 076 | SR Loss: 6.59546 | Domain Loss: 0.63778 | Test Loss: 5.12882
Epoch 077 | SR Loss: 6.29356 | Domain Loss: 0.63399 | Test Loss: 11.21017
Epoch 078 | SR Loss: 6.53049 | Domain Loss: 0.63305 | Test Loss: 7.71397
Epoch 079 | SR Loss: 6.59914 | Domain Loss: 0.63235 | Test Loss: 6.09377
Epoch 080 | SR Loss: 6.38988 | Domain Loss: 0.62896 | Test Loss: 10.71474
Epoch 081 | SR Loss: 6.55144 | Domain Loss: 0.63310 | Test Loss: 10.69930
Epoch 082 | SR Loss: 6.58250 | Domain Loss: 0.63050 | Test Loss: 5.73323
Epoch 083 | SR Loss: 6.20312 | Domain Loss: 0.63069 | Test Loss: 4.92835
Epoch 084 | SR Loss: 6.52666 | Domain Loss: 0.63157 | Test Loss: 4.80016
Epoch 085 | SR Loss: 6.46642 | Domain Loss: 0.62672 | Test Loss: 5.06598
Epoch 086 | SR Loss: 6.40506 | Domain Loss: 0.63032 | Test Loss: 5.91324
Epoch 087 | SR Loss: 6.42832 | Domain Loss: 0.63119 | Test Loss: 9.18737
Epoch 088 | SR Loss: 6.49560 | Domain Loss: 0.62808 | Test Loss: 5.33136
Epoch 089 | SR Loss: 6.16053 | Domain Loss: 0.63106 | Test Loss: 8.14029
Epoch 090 | SR Loss: 6.28457 | Domain Loss: 0.62821 | Test Loss: 7.70760
Epoch 091 | SR Loss: 6.41264 | Domain Loss: 0.62550 | Test Loss: 7.76527
Epoch 092 | SR Loss: 6.53912 | Domain Loss: 0.62713 | Test Loss: 5.03072
Epoch 093 | SR Loss: 6.05329 | Domain Loss: 0.62444 | Test Loss: 4.88756
Epoch 094 | SR Loss: 6.18269 | Domain Loss: 0.62235 | Test Loss: 5.08258
Epoch 095 | SR Loss: 6.16568 | Domain Loss: 0.62474 | Test Loss: 5.24777
Epoch 096 | SR Loss: 6.27111 | Domain Loss: 0.62680 | Test Loss: 5.02915
Epoch 097 | SR Loss: 6.06646 | Domain Loss: 0.62860 | Test Loss: 6.36868
Epoch 098 | SR Loss: 6.19396 | Domain Loss: 0.62505 | Test Loss: 4.80186
Epoch 099 | SR Loss: 6.24038 | Domain Loss: 0.61948 | Test Loss: 4.69350
Epoch 100 | SR Loss: 5.98675 | Domain Loss: 0.62329 | Test Loss: 4.98742
Epoch 101 | SR Loss: 6.11190 | Domain Loss: 0.62068 | Test Loss: 4.64032
Epoch 102 | SR Loss: 6.00071 | Domain Loss: 0.62296 | Test Loss: 8.35283
Epoch 103 | SR Loss: 6.06888 | Domain Loss: 0.61937 | Test Loss: 7.99329
Epoch 104 | SR Loss: 6.07062 | Domain Loss: 0.62050 | Test Loss: 5.85669
Epoch 105 | SR Loss: 5.92682 | Domain Loss: 0.62324 | Test Loss: 5.75205
Epoch 106 | SR Loss: 5.89094 | Domain Loss: 0.62100 | Test Loss: 5.25509
Epoch 107 | SR Loss: 6.24734 | Domain Loss: 0.62007 | Test Loss: 4.77379
Epoch 108 | SR Loss: 5.98852 | Domain Loss: 0.61869 | Test Loss: 5.02347
